id,canonical_name,normalized_name,website,airport_codes,service_categories,employee_min,employee_max,naics_codes,sam_cage_code,qualification_status
315,"Airway Maintenance, LLC",airway maintenance,airwayllc.com,EWR; JFK,lounge services,13,13,722515,,Review
316,"Alpha-Tech Aviation Services, Inc.",alphatech aviation services,https://www.alphatechaviation.com,MDW; ORD,aeronautical maintenance; aeronautical maintenance services,15,15,488190,,Review
317,Alstate Maintenance,alstate maintenance,,JFK,in-terminal handling services; passenger ramp services,,,488190,,Review
318,"Altitude Aero, LLC",altitude aero,altitudeaero.net,EWR; JFK,in-terminal handling services,15,15,488190,,Review
319,"American Cybersystems, Inc.",american cybersystems,,EWR; JFK,personnel services,23,23,561320,,Review
320,"American Sales & Management Organization, LLC",american sales management organization,,EWR; JFK,cargo handling & ramp services; in-terminal handling services,,,"488190, 488510",,Review
321,AOA Fueling,aoa fueling,https://www.aoafueling.com,ORD,into-plane fueling services,,,447190,,Review
322,Aries Shuttle Chicago,aries shuttle chicago,https://www.ariesshuttle.com,ORD,passenger/terminal services,8,8,488190,,Review
323,ARK Development LLC,ark development,thearkdevelopment.com,EWR; JFK,cargo handling & ramp services,72,72,"488190, 488510",,Review
324,"ASAK Solutions, LLC",asak solutions,asak.aero,EWR; JFK,cargo handling & ramp services; snow removal services,33,33,"488190, 488510, 561790",,Review
325,"AtkinsRealis USA, Inc.",atkinsrealis usa,,EWR; JFK,security services,35000,,561612,,No
326,"Aviation Solutions Holdings, L.P.",aviation solutions holdings lp,,JFK,personnel services,,,561320,,Review
327,"Brancato Landscaping, Inc.",brancato landscaping,,JFK,ramp sweeping services; snow removal services,,,"488190, 561790",,Review
328,British Airways,british airways,britishairways.com,EWR; JFK,british airways; aircraft maintenance services,20126,20126,488190,,No
329,"Burbank Security Services, Inc.",burbank security services,burbanksecurityservices.com,EWR; JFK,security services,5,5,561612,,Review
330,Centurion Lounge Flik Hospitality,centurion lounge flik hospitality,,JFK,lounge services,500000,,722515,,No
331,"Choice Aviation Services, Inc.",choice aviation services,choice.aero,EWR; JFK,cargo handling & ramp services,111,111,"488190, 488510",,Review
332,Corporate Loss Prevention Assoc.,corporate loss prevention assoc,,JFK,security services,,,561612,,Review
333,Cowbay Contracting,cowbay contracting,cowbaycontracting.com,JFK,snow removal services,13,13,561790,,Review
334,Cristi Cleaning,cristi cleaning,,JFK,snow removal services,5,5,561790,,Review
335,"Cypress King, Inc.",cypress king,,EWR; JFK,security services,,,561612,,Review
336,"Dejana Services, LLC",dejana services,,EWR; JFK,ramp sweeping services,,,488190,,Review
337,"Delta Air Lines, Inc.",delta air lines,delta.com,JFK,aircraft maintenance services,45019,45019,488190,,No
338,Diverse Facility Solutions,diverse facility solutions,https://www.dfscompany.com,MDW; ORD,baggage sorting & management services; in-terminal janitorial services; passenger & terminal services,68,68,"488190, 561720, 541611",,Review
339,DO & CO Chicago Catering,do co chicago catering,https://www.doco.com,ORD,food services; international garbage & waste removal,,,"722310, 562998",,Review
341,"Ecogreen Carpet Care, Inc",ecogreen carpet care,,ORD,in-terminal janitorial services,5,5,"561720, 488190",,Review
342,"Elite Airline Linen of New York, Inc.",elite airline linen of new york,,EWR; JFK,cleaning services,,,561720,,Review
343,Emirates Airline,emirates airline,,EWR; JFK,emirates airline; aircraft maintenance services,,,488190,,No
344,F & E Aircraft Maintenance (New York) LLC,f e aircraft maintenance new york,,EWR; JFK,f & e aircraft maintenance (new york) llc; aircraft maintenance services,,,488190,,Review
345,Faro Cargo Handling Solutions,faro cargo handling solutions,https://www.farochs.com,ORD,cargo,,,488510,,Review
346,Federal Express Corporation,federal express corporation,,EWR; JFK,federal express corporation; aircraft maintenance services,,,488190,,No
347,"Fenix Logistix, Inc.",fenix logistix,,EWR; JFK,cargo handling & ramp services; cleaning services; in-terminal handling services; security services,,,"561612, 488190, 488510, 561720",,Review
348,"Firefly Systems, Inc.",firefly systems,,EWR; JFK,miscellaneous,,,,,Review
349,"Flight Check Commercial Aviation Services, LLC",flight check commercial aviation services,https://www.flightcheck.us,ORD,aeronautical maintenance services; aircraft deicing services; passenger/terminal services; ramp/below-wing handling services,,,488190,,Review
350,"Flight Ops International, Inc.",flight ops international,,EWR; JFK,ground handling services,,,488190,,Review
351,Genuine Parts Company,genuine parts company,,JFK,ground service equipment maintenance services,60000,,"488190, 811310",,No
352,"Go Local Promotions, Inc.",go local promotions,,EWR; JFK,personnel services,,,561320,,Review
353,Guardian Professional Services,guardian professional services,,JFK,in-terminal handling services,,,488190,,Review
354,Hall Technical Services,hall technical services,,JFK,ground service equipment maintenance services,,,"488190, 811310",,Review
355,"Hanjin Transportation Co., Ltd.",hanjin transportation co,https://www.hanjinusa.com,EWR; JFK; ORD,cargo; cargo handling & ramp services,,,"488190, 488510",,Review
356,"HHS Aviation, LLC",hhs aviation,,EWR; JFK,cleaning services; in-terminal handling services,,,"561720, 488190",,Review
357,"Hyde Park Hospitality, LLC",hyde park hospitality,,SEA; EWR; JFK,personnel services,,,561320,,Review
358,"I.K. Hofmann USA, Inc.",ik hofmann usa,,EWR; JFK,personnel services,,,561320,,Review
359,"Integrated Deicing Services, LLC",integrated deicing services,https://www.inlandgroup.ca,ORD,aircraft deicing & related services,,,488190,,Review
360,"ISS Action, Inc",iss action,,EWR; JFK,security services,,,561612,,Review
361,J-Blatt Inc.,jblatt,,EWR; JFK,in-terminal handling services,,,488190,,Review
362,JCM Business Solutions LLC,jcm business solutions,,EWR; JFK,cleaning services; security services,,,"561612, 561720",,Review
363,"Jet Way Aviation Services, LLC",jet way aviation services,,EWR; JFK,in-terminal handling services,,,488190,,Review
364,"Jet Way Security & Investigations, LLC",jet way security investigations,,EWR; JFK,security services,,,561612,,Review
365,JetBlue Airways Corporation,jetblue airways corporation,,EWR; JFK,jetblue airways corporation; aircraft maintenance services; cleaning services; in-terminal handling services; passenger ramp services,,,"488190, 561720",,No
366,"Jett Pro Line Maintenance, Corp.",jett pro line maintenance corp,,EWR; JFK,jett pro line maintenance; corp.; aircraft maintenance services,,,488190,,Review
367,JFK Management Corp.,jfk management corp,,EWR; JFK,cleaning services; lounge services,,,"561720, 722515",,Review
368,Kennedy Advanced Professional Service Ltd.,kennedy advanced professional service,,EWR; JFK,security services,,,561612,,Review
369,KSA Protection Corporation,ksa protection corporation,,JFK,security services,,,561612,,Review
370,"Labor Management Concepts, Inc.",labor management concepts,,EWR; JFK,security services,,,561612,,Review
371,"LSG Sky Chefs Lounge, Inc.",lsg sky chefs lounge,,EWR; JFK,lounge services,,,722515,,Review
372,Lufthansa Cargo AG,lufthansa cargo ag,,JFK,cargo handling & ramp services,,,"488190, 488510",,No
373,Lufthansa German Airlines,lufthansa german airlines,,EWR; JFK,lufthansa german airlines; aircraft maintenance services,,,488190,,No
374,Mach II Maintenance Corporation,mach ii maintenance corporation,,EWR; JFK,mach ii maintenance corporation; aircraft maintenance services; de-icing services,,,488190,,Review
375,Manpower Group US Inc,manpower group us,https://www.manpowergroup.com,ORD,cargo,25400,25400,488510,,No
376,"Masterpiece Security Group, LLC",masterpiece security group,,EWR; JFK,security services,,,561612,,Review
377,"Maximus Global Services, LLC",maximus global services,,EWR; JFK,passenger ramp services,,,488190,,Review
378,"MG Security Services, LLC",mg security services,,EWR; JFK,security services,,,561612,,Review
379,Millennial Enterprises,millennial enterprises,https://www.workwithmillennial.com,MDW,in-terminal janitorial services,,,"561720, 488190",,Review
380,"Modern Aviation Lightning, LLC",modern aviation lightning,,EWR; JFK,de-icing services,,,,,Review
381,MSN Air Service Inc.,msn air service,,EWR; JFK,cargo handling & ramp services; passenger ramp services,,,"488190, 488510",,Review
382,"MSN Aviation Services, Inc.",msn aviation services,,EWR; JFK,cargo handling & ramp services,,,"488190, 488510",,Review
383,National Organization of Animal Handlers (NOAH),national organization of animal handlers noah,,JFK,cargo handling & ramp services,,,"488190, 488510",,Review
384,New York Air Courier Clearance Inc.,new york air courier clearance,,EWR; JFK,new york air courier clearance inc.; baggage services,,,488190,,Review
385,"North American Food Services, Inc.",north american food services,,EWR; JFK,lounge services; personnel services,,,"722515, 561320",,Review
386,Omni-Serv LLC,omniserv,,EWR; JFK,cargo handling & ramp services; cleaning services; in-terminal handling services; passenger ramp services; security services,,,"561612, 488190, 488510, 561720",,Review
387,"On-Board Media, Inc.",onboard media,,EWR; JFK,in flight media services; miscellaneous,,,722310,,Review
388,"ORD Lift & GSE, Inc.",ord lift gse,,EWR; JFK,miscellaneous,,,811310,,Review
389,"Oxford Electronics, Inc.",oxford electronics,,EWR; JFK,cargo handling & ramp services,,,"488190, 488510",,Review
390,Pacific Atlantic Handling Services LLC,pacific atlantic handling services,,EWR; JFK,in-terminal handling services; passenger ramp services,,,488190,,Review
391,Pasona,pasona,https://www.pasona.com,ORD,passenger & terminal services,,,488190,,Review
392,"Pasona NA, Inc.",pasona na,,EWR; JFK,in-terminal handling services,,,488190,,Review
393,PAX Assist Inc.,pax assist,,EWR; JFK,in-terminal handling services; passenger ramp services; security services,,,"561612, 488190",,Review
394,"Perry Onah Enterprises, Inc.",perry onah enterprises,,EWR; JFK,security services,,,561612,,Review
395,Plaza Premium Lounge New York LLC,plaza premium lounge new york,,EWR; JFK,lounge services,,,722515,,Review
396,"Professional Business Providers, Inc.",professional business providers,https://www.pbpservices.com,MDW,aircraft cooling & heating; baggage sorting & management; other -- passenger loading bridge maintenance,,,488190,,Review
397,"Qatar Airways, Q.C.S.C.",qatar airways qcsc,,EWR; JFK,qatar airways; q.c.s.c.; aircraft maintenance services,,,488190,,No
398,"Red Eye Aviation Service, LLC",red eye aviation service,,EWR; JFK,personnel services,,,561320,,Review
399,"Restaurant Associates, LLC",restaurant associates,,EWR; JFK,lounge services,500000,,722515,,No
400,"Rock-it Cargo USA, LLC",rockit cargo usa,,JFK,security services,,,561612,,Review
401,Roma Cleaning Inc.,roma cleaning,,EWR; JFK,cleaning services; in-terminal handling services,,,"561720, 488190",,Review
402,"Roma Escort Security, Inc.",roma escort security,,EWR; JFK,security services,,,561612,,Review
404,Sage Parts (New York) LLC,sage parts new york,,EWR; JFK,ground service equipment maintenance services,,,"488190, 811310",,Review
405,Sam Schwartz Pedestrian Traffic Management Service,sam schwartz pedestrian traffic management service,,JFK,security services,,,561612,,Review
406,SAMSIC,samsic,https://www.samsic.aero,ORD,cargo - passenger & freight aircraft services; ramp/below-wing handling services,8000,8000,"488190, 488510",,Review
407,SCIS Security Services,scis security services,https://www.scisairsecurity.com,ORD,"",700,700,561612,,Review
408,"SeatBoost, Inc.",seatboost,,EWR; JFK,in-terminal handling services,,,488190,,Review
409,"Sky and Ground Services, Inc.",sky and ground services,,ORD,in-terminal janitorial; interior aircraft cleaning; international garbage & waste removal; security,,,"561612, 561720, 488190, 562998",,Review
410,Sky Blue Catering,sky blue catering,https://www.skybluecatering.com,MDW; ORD,food services; international garbage & waste removal,,,"722310, 562998",,Review
411,"Sodexo Magic, LLC",sodexo magic,,EWR; JFK,lounge services,400000,,722515,,No
412,Sodexo Operations,sodexo operations,,JFK,lounge services,400000,,722515,,No
413,"Staff Management Solutions, LLC",staff management solutions,https://www.trueblue.com,ORD,cargo - passenger & freight aircraft services,,,488510,,Review
414,STS Aviation Services,sts aviation services,,EWR; JFK,sts aviation services; aircraft maintenance services,,,488190,,Review
415,Sunline Services Inc,sunline services,https://www.sunlineservices.com,ORD,passenger & terminal services,,,488190,,Review
416,Sunrise Ground Equipment,sunrise ground equipment,,JFK,cargo handling & ramp services,,,"488190, 488510",,Review
417,"Sunrise Recruiting, Inc.",sunrise recruiting,,EWR; JFK,personnel services,,,561320,,Review
418,SureWx,surewx,,JFK,miscellaneous,,,541512,,Review
420,"Swissport SA Fuel Services, LLC",swissport sa fuel services,https://www.swissport.com,ORD,into-plane fueling services,,,447190,,Review
421,"TAV New York Operation Services, LLC",tav new york operation services,,EWR; JFK,lounge services,,,722515,,Review
422,Texas World Service Company Inc.,texas world service company,https://www.worldserviceco.com,ORD,interior aircraft cleaning services; international garbage/waste removal; security services,,,"561612, 561720, 562998",,Review
423,Thales USA,thales usa,,JFK,in flight entertainment system services,80000,,722310,,No
424,"The FSM Group, LLC",the fsm group,,JFK,ground service equipment maintenance services,,,"488190, 811310",,Review
425,Triangle Aviation Services,triangle aviation services,,EWR; JFK,triangle aviation services; baggage services; cargo handling & ramp services,,,"488190, 488510",,Review
426,"U.S. Security Associates, Inc.",us security associates,,EWR; JFK,security services,800000,,561612,,No
427,"United Air Lines, Inc.",united air lines,,EWR; JFK,united air lines; inc.; aircraft maintenance services,,,488190,,No
428,"UST Investments, LLC",ust investments,https://www.ustechs.us,ORD,other -- aircraft repositioning,,,,,Review
429,"Viasat, Inc.",viasat,,EWR; JFK,in flight entertainment system services,7000,,722310,,No
430,"VIP Hospitality, LLC",vip hospitality,,EWR; JFK,miscellaneous,,,,,Review
431,Acai and Expresso LLC,acai and expresso,,SEA,"",,,,,Review
432,Airport Field Services LLC,airport field services,,SEA,"",,,488190,,Review
433,Airworks Concessions and Conrac Supplies LLC,airworks concessions and conrac supplies,,SEA,"",,,488190,,Review
434,"Amber Janitorial, Inc",amber janitorial,,SEA,"",,,561720,,Review
435,BACKDRAFT LLC,backdraft,,SEA,"",,,,,Review
436,Baggage Claim Coffee LLC,baggage claim coffee,,SEA,"",,,722515,,Review
437,Bambuza South Waterfront LLC,bambuza south waterfront,,SEA,"",,,,,Review
438,"Bite Me, Inc",bite me,,SEA,"",,,,,Review
439,"Brown Sugar Baking Company, LLC",brown sugar baking company,,SEA,"",,,722515,,Review
440,Catco Business Consulting LLC,catco business consulting,,SEA,"",,,,,Review
441,Chandler & Campbelle Investment Group LLC,chandler campbelle investment group,,SEA,"",,,,,Review
442,CityNews Ohio Company,citynews ohio company,,SEA,"",,,,,Review
443,Concourse Concessions LLC,concourse concessions,,SEA,"",,,,,Review
444,"Convergence Architecture, Inc",convergence architecture,,SEA,"",,,,,Review
445,Corliss Stone-Littles LLC,corliss stonelittles,,SEA,"",,,,,Review
446,Cyclo Corporation,cyclo corporation,,SEA,"",,,,,Review
447,DES Wholesale LLC,des wholesale,,SEA,"",,,,,Review
448,Devil Dog Installations LLC,devil dog installations,,SEA,"",,,,,Review
449,"Dilettante Chocolates, Inc",dilettante chocolates,,SEA,"",,,722515,,Review
450,Diversity Food Brands LLC,diversity food brands,,SEA,"",,,722515,,Review
451,E & K Retail Inc,e k retail,,SEA,"",,,453998,,Review
452,Eastside International Management Corporation,eastside international management corporation,,SEA,"",,,,,Review
453,Estudio LLC,estudio,,SEA,"",,,,,Review
454,"Excel Gloves & Safety Supplies, Inc",excel gloves safety supplies,,SEA,"",,,,,Review
455,Inc/3E Medical.Com,inc3e medicalcom,,SEA,"",,,,,Review
456,Filo Foods LLC,filo foods,,SEA,"",,,722515,,Review
457,FIREHOUSE EXPRESS LLC,firehouse express,,SEA,"",,,,,Review
458,"Flying Leap, Inc",flying leap,,SEA,"",,,,,Review
459,"Ford of Santa Monica, Inc",ford of santa monica,,SEA,"",,,,,Review
460,Heigh Connects LLC,heigh connects,,SEA,"",,,,,Review
461,Hilltop Concessions LLC,hilltop concessions,,SEA,"",,,,,Review
462,"HWCC, LLC",hwcc,,SEA,"",,,,,Review
463,Hyflyers LLC,hyflyers,,SEA,"",,,,,Review
464,I Love Chicago Inc,i love chicago,,SEA,"",,,,,Review
465,"La Trelles Express, Inc",la trelles express,,SEA,"",,,,,Review
466,Leslie Saunders Insurance Agency Inc,leslie saunders insurance agency,,SEA,"",,,,,Review
467,"Longhouse Inventory Solutions, LLC",longhouse inventory solutions,,SEA,"",,,,,Review
468,Love By The Slice Baking & Catering Company LLC,love by the slice baking catering company,,SEA,"",,,"722515, 722310",,Review
469,Massage Bar Inc,massage bar,,SEA,"",,,,,Review
470,Master Concessionair LLC,master concessionair,,SEA,"",,,,,Review
471,"MCSB, Inc",mcsb,,SEA,"",,,,,Review
472,"Mission Yogurt, Inc",mission yogurt,,SEA,"",,,,,Review
473,"On the House Restaurant Group, LLC",on the house restaurant group,,SEA,"",,,722515,,Review
474,Optimal Technologies LLC,optimal technologies,,SEA,"",,,,,Review
475,Pacific Park Management Inc,pacific park management,,SEA,"",,,,,Review
476,Palladium Holdings LLC,palladium holdings,,SEA,"",,,,,Review
